Stocks (DEV),Stocks (EM),Bonds (GOV),REIT,Commodities,Gold
0.114905532,-0.157176641,0.048745673,0.195675888,0.103159229,-0.2016992
0.443833371,0.106393882,0.04159071,0.116000152,0.038791013,-0.11108137
0.21553362,-0.064776668,0.078457661,0.08128973,0.086820925,-0.055638844
-0.099683891,0.483355052,-0.039201074,0.12443424,0.212198579,0.207369718
-0.165076117,0.440703293,-0.095341869,-0.054861828,0.456866808,-0.031164005
0.202885179,0.056633562,-0.110672904,0.240066785,0.199135635,-0.05877409
0.058127563,-0.154419197,-0.044342413,0.329945869,0.255165668,0.071258074
-0.207544537,-0.055803555,-0.05406471,-0.128945843,-0.267817254,-0.028168047
0.186323559,0.036777416,-0.053690716,-0.014926003,0.372682398,-0.002333811
0.146772399,0.039673812,0.087705725,-0.082400041,-0.143636909,0.087961973
0.137080779,0.295638396,0.085787519,-0.056685338,-0.095328206,-0.157203339
0.207170238,-0.056499353,,0.111039585,-0.154603508,0.058737128
-0.353479633,-0.13968288,,0.240036922,,0.017356092
0.095518184,0.081220899,,0.031479763,,0.133861656
-0.139863397,0.226706722,,0.38816965,,0.075647735
-0.095254751,0.188029407,,0.166537487,,-0.030520567
-0.307830255,-0.213256953,,-0.096783565,,-0.185665191
-0.223950072,0.244885659,,0.022622398,,0.299502758
0.094845109,0.07992182,,0.141970105,,-0.194623251
-0.228775752,0.25630817,,0.165089142,,-0.012761962
0.342261076,0.635197764,,-0.006301548,,-0.019711202
0.068147472,0.057148269,,0.127873925,,0.255346585
0.01566138,-0.232540674,0.008235642,0.05064836,,-0.079542751
0.211184604,0.466564517,0.085140733,0.291004376,,-0.085238959
0.046188375,-0.303324171,-0.033172328,0.000671066,,0.202101083
0.453525621,0.325756841,0.110541992,-0.012651282,,-0.192811702
0.135097927,-0.311391142,0.080588433,0.557010985,,0.144493053
-0.026862363,0.287288039,0.124948179,0.19488719,,-0.210743823
0.200452688,0.150527173,0.045940919,-0.307683401,,0.229659318
0.021898442,0.134755145,0.022204675,0.124645687,,0.08688704
0.272291561,-0.265915772,-0.091558015,0.368788711,,-0.187738536
0.190824071,-0.191188554,0.122830466,0.014938697,0.03267284,0.009451735
-0.362791855,0.053405228,-0.0424696,0.006724877,0.303954243,0.166837567
-0.051999803,0.31116731,0.185147359,0.203462069,0.02137586,0.149893713
0.171858437,-0.168165176,0.026111174,0.093401606,0.126420025,0.280212606
-0.093143594,-0.078262509,-0.003704153,0.126601415,0.156342073,-0.330755792
,,-0.083897917,-0.037445487,-0.150125162,-0.020973706
,,-0.160735488,0.004702539,0.035904206,-0.069772231
,,-0.048500945,0.043633161,0.322493448,0.052567608
,,0.085018368,0.308171518,-0.077375296,-0.024325632
,,0.16839705,0.059756356,0.25489668,-0.124422883
,,0.08532798,0.240860122,0.216196382,-0.00043235
,,0.037439392,0.026234394,-0.132561756,0.106877649
,,0.067506114,0.056364158,0.224225628,-0.198293511
,,0.05576039,-0.164671669,0.043928306,0.077360617
,,0.088757701,-0.035196345,-0.229595443,-0.126596178
,,0.054320114,-0.343322701,-0.014194048,-0.471160755
,,-0.049548959,0.078453206,-0.04267542,-0.074278646
,,0.111217553,-0.09096379,0.08042811,0.119832682
,,0.16295503,-0.00901357,0.27978794,-0.200114131
,,0.029985984,-0.094875841,0.114889496,-0.072444209
-0.097237342,0.216481454,0.031964071,0.157654555,-0.199811793,0.001190958
0.087829435,0.257196976,-0.030120705,0.071391283,0.015241343,0.080123206
-0.041947687,0.095190316,0.029882999,0.079509994,0.058362788,0.021857093
0.350536683,0.177897343,0.045563812,0.109904581,-0.050794814,0.013627901
0.343125327,0.003922865,-0.1412326,-0.025594067,,-0.109390022
-0.000139666,-0.012249268,0.020803871,0.124187338,,0.18375776
-0.027351442,0.376827643,-0.144124704,0.002061562,,-0.227754913
0.059133819,-0.278024045,0.021029988,0.304127264,,0.003827936
0.499205606,-0.225384758,-0.024729987,0.16392186,,0.020528937
-0.184177097,0.060226611,0.085697084,0.164009502,,0.083695493
0.081999892,0.138468971,-0.084329908,-0.020801951,,0.080355797
0.174403083,0.224647915,0.052008109,0.287184173,,-0.099864473
-0.215866929,-0.100540508,-0.012726341,-0.008061764,,-0.357918699
0.29247728,0.469538622,0.057538595,-0.097889404,,-0.006124257
0.233725295,0.022622747,0.104312423,0.074866272,,-0.123832065
0.051355291,0.087354808,-0.008863925,0.374799405,,-0.045273947
0.05086643,-0.068100593,-0.016475103,0.230992342,,-0.092332923
0.007765603,-0.094971606,-0.126435442,-0.018989563,,-0.143732051
-0.344056657,0.102719936,-0.033399276,-0.151899867,,-0.157781926
0.002656839,-0.117487001,0.025439895,0.019605829,,0.240480121
-0.053281478,0.507340389,0.022262089,-0.093863141,-0.158280207,-0.049208283
-0.001057054,-0.14354395,-0.066471959,0.041623134,-0.053038199,
0.08393661,0.087495062,,0.211937999,-0.004016976,
-0.315992895,-0.085073949,,0.146177768,0.070831012,
0.020505306,0.267094412,,0.006801596,-0.081991187,
-0.132794644,0.202352269,,0.3808661,0.058702214,
0.021151262,0.093248604,,0.302983486,-0.179007956,
-0.074264946,0.263594078,,0.105621409,-0.102077527,
0.271285781,-0.211541292,,0.140260901,-0.360686129,
0.092326898,0.207535171,,0.307687056,0.197848527,
-0.067741911,-0.14062682,,0.184453437,-0.130932928,
0.068102414,-0.14987442,,0.195151647,0.145063657,
-0.286629361,-0.076271113,,-0.057461352,-0.032741909,
-0.084024259,0.554178893,,-0.127156293,0.131138379,
0.248769189,-0.235147532,,0.079085468,-0.343615347,0.375702551
0.012297996,0.54249577,-0.012306123,0.176096376,0.227362106,-0.141478479
0.130284709,0.16392068,0.004296047,-0.111216841,-0.152045163,0.201364196
-0.099184806,-0.130333151,0.048230196,0.116094747,-0.222052563,-0.053124147
0.430581979,-0.147951743,0.036245706,-0.118905515,0.196247281,0.008263462
0.173751374,-0.305157914,0.041044074,-0.117605496,-0.055164138,0.248578395
0.13863838,0.346773725,-0.020344529,0.157942628,0.070337413,0.072416584
0.338818453,-0.040202983,0.007314915,0.04101325,-0.089591456,-0.140641537
0.133702208,0.111825522,0.018321526,0.055076913,-0.173360261,0.019878918
0.120079427,0.032755264,-0.058941385,0.139926111,0.081687586,-0.007835856
0.054317613,0.351344701,0.057049454,0.297138144,0.163602281,
0.059622413,0.075613924,0.044307298,0.007947798,0.540986045,
-0.036464717,-0.148278014,-0.037716665,0.105808402,0.42986155,
0.547182909,0.01814545,0.042019653,0.332755353,0.223955233,
